sampleDate,sampleID,siteID,latitude,longitude,sampleDepth,secchi,wind,comments,lakeName,Altitude,depth,variableID,profile.dataValue,type,carbon.dataValue
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,salinity,0.25,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,conductivity,452.8,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,conductivity,452.8,DIC,35.309
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,oxygenPercent,87.6,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,oxygenPercent,87.6,DIC,35.309
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,oxygenConcentration,6.93,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,oxygenConcentration,6.93,DIC,35.309
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,temperature,19.3,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,temperature,19.3,DIC,35.309
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,specificConductivity,508.5,DOC,15.661
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,specificConductivity,508.5,DIC,35.309
2013-07-29,4,2,49.585871,-103.779345,5.7,0.79,0,no livestock visible but does appear to be pasture land.,Nickle,560,1,salinity,0.25,DIC,35.309
2013-07-29,5,4,49.193596,-103.24316,14.5,1.5,0,Waited out storm for two hours prior to sampling.  Filamentous green algae bloom.  Sam to the south of the sampling location.  Connectivity looks complex with multiple inflows into the lake but no small streams evident from sampling point.  Shoreline had bands of eroding/ exposed rocks that looked sedimenary (not bedrock),McDonald,541,1,oxygenPercent,103.2,DOC,10.384
2013-07-29,5,4,49.193596,-103.24316,14.5,1.5,0,Waited out storm for two hours prior to sampling.  Filamentous green algae bloom.  Sam to the south of the sampling location.  Connectivity looks complex with multiple inflows into the lake but no small streams evident from sampling point.  Shoreline had bands of eroding/ exposed rocks that looked sedimenary (not bedrock),McDonald,541,1,temperature,20.2,DOC,10.384
2013-07-29,5,4,49.193596,-103.24316,14.5,1.5,0,Waited out storm for two hours prior to sampling.  Filamentous green algae bloom.  Sam to the south of the sampling location.  Connectivity looks complex with multiple inflows into the lake but no small streams evident from sampling point.  Shoreline had bands of eroding/ exposed rocks that looked sedimenary (not bedrock),McDonald,541,1,oxygenConcentration,7.95,DIC,41.19
2013-07-29,5,4,49.193596,-103.24316,14.5,1.5,0,Waited out storm for two hours prior to sampling.  Filamentous green algae bloom.  Sam to the south of the sampling location.  Connectivity looks complex with multiple inflows into the lake but no small streams evident from sampling point.  Shoreline had bands of eroding/ exposed rocks that looked sedimenary (not bedrock),McDonald,541,1,oxygenConcentration,7.95,DOC,10.384
